feature,importance
overnight_gap_pct,0.0685540698856523
premarket_range_pct,0.00133925110362982
premarket_vol,0.007249596821452035
premarket_vol_vs_prev5d,0.008256791419900922
premarket_sweep_prev_high,0.00286321803573758
premarket_sweep_prev_low,0.0005515667833597181
premarket_close_vs_prev_close_pct,0.009339228055763522
premarket_return_pct,0.0007705365558936493
prev_close,0.09133133865542395
prev_day_range_pct,0.06841967644916379
prev_day_body_pct,0.07195474855400324
prev_day_bull,0.016445011608016764
prev_day_swept_prior_high,0.015151304567616623
prev_day_swept_prior_low,0.009414613055800158
open_pos_in_prev_range,0.06736804249755474
open_to_prev_high_pct_rng,0.06945727242069206
open_to_prev_low_pct_rng,0.06646006419265436
daily_atr14_pct,0.07842626641919204
h1_close_vs_sma20_pct,0.07251771741588373
h4_close_vs_sma20_pct,0.0839953323687055
h1_mom_5bars_pct,0.08682676649305106
h4_mom_3bars_pct,0.10330758664085234
