feature,importance
overnight_gap_pct,0.061661273558017114
premarket_range_pct,0.015200801110443923
premarket_vol,0.024396869179778836
premarket_vol_vs_prev5d,0.027415320393293068
premarket_sweep_prev_high,0.004883398678896537
premarket_sweep_prev_low,0.0015102714072041008
premarket_close_vs_prev_close_pct,0.02961705242836052
premarket_return_pct,0.015564215716770404
prev_close,0.06423669333627484
prev_day_range_pct,0.07308356646605556
prev_day_body_pct,0.06018852252664204
prev_day_bull,0.00804417250813847
prev_day_swept_prior_high,0.008330048325375426
prev_day_swept_prior_low,0.008274657547211517
open_pos_in_prev_range,0.05421269795474021
open_to_prev_high_pct_rng,0.05019104603723118
open_to_prev_low_pct_rng,0.05199892906059832
daily_atr14_pct,0.07169127218947653
h1_close_vs_sma20_pct,0.06363764021731658
h4_close_vs_sma20_pct,0.09137596527893663
h1_mom_5bars_pct,0.07090070994262637
h4_mom_3bars_pct,0.1435848761366119
